id,ciudad,edad,genero,mes,ordenes,pago,usd
71,Leon,65,Female,feb 20,3,1,480
72,Guadalajara,40,Male,feb 20,0,0,0
73,Puebla,28,Female,feb 20,3,1,212
74,Monterrey,29,Female,feb 20,1,1,83
75,Monterrey,39,Male,feb 20,3,1,445
76,Leon,39,Female,feb 20,3,1,535
77,Guadalajara,37,Female,feb 20,2,1,183
78,Monterrey,38,Male,feb 20,2,1,126
79,Leon,37,Male,feb 20,3,1,762
80,Puebla,39,Female,feb 20,1,1,19
81,Puebla,20,Male,feb 20,2,1,555
82,Monterrey,54,Male,feb 20,3,0,496
83,Puebla,41,Male,feb 20,3,1,842
84,Puebla,65,Female,feb 20,2,1,399
85,Puebla,36,Male,feb 20,6,1,1052
86,Puebla,26,Female,feb 20,5,1,1161
87,Puebla,48,Male,feb 20,2,1,234
88,Guadalajara,36,Female,feb 20,3,1,448
89,Leon,64,Female,feb 20,5,1,939
90,Puebla,50,Male,feb 20,6,1,245
91,Leon,37,Female,feb 20,2,1,40
92,Monterrey,29,Female,feb 20,5,1,842
93,Puebla,25,Female,feb 20,3,1,714
94,Guadalajara,65,Female,feb 20,4,1,1184
95,Monterrey,36,Female,feb 20,3,1,343
96,Leon,33,Male,feb 20,2,0,581
97,Monterrey,32,Male,feb 20,6,1,1662
98,Leon,26,Female,feb 20,3,0,827
99,Leon,32,Male,feb 20,4,1,288
100,Guadalajara,23,Female,feb 20,6,1,1483
101,Monterrey,23,Female,feb 20,2,1,304
102,Leon,53,Male,feb 20,6,1,1578
103,Leon,39,Male,feb 20,4,1,845
104,Puebla,26,Female,feb 20,2,1,510
105,Monterrey,45,Male,feb 20,6,1,410
106,Guadalajara,38,Male,feb 20,2,1,557
107,Puebla,40,Male,feb 20,3,1,429
108,Puebla,54,Female,feb 20,2,1,492
109,Leon,50,Male,feb 20,5,1,948
110,Leon,47,Male,feb 20,6,1,705
111,Guadalajara,46,Female,feb 20,4,1,1072
112,Monterrey,41,Female,feb 20,2,1,461
113,Monterrey,33,Female,feb 20,2,1,576
114,Monterrey,37,Male,feb 20,3,1,784
115,Puebla,24,Female,feb 20,4,1,860
116,Guadalajara,37,Male,feb 20,6,1,1070
117,Guadalajara,49,Male,feb 20,4,1,1200
118,Guadalajara,41,Male,feb 20,3,1,275
119,Leon,20,Female,feb 20,4,1,241
120,Guadalajara,39,Female,feb 20,4,1,638
121,Monterrey,42,Female,feb 20,5,1,628
122,Leon,20,Female,feb 20,6,1,1203
123,Monterrey,38,Male,feb 20,5,1,1491
124,Leon,41,Female,feb 20,4,0,89
125,Puebla,40,Male,feb 20,6,1,1777
126,Guadalajara,52,Male,feb 20,6,1,974
127,Monterrey,32,Male,feb 20,5,1,836
128,Leon,34,Male,feb 20,3,1,730
129,Monterrey,32,Male,feb 20,3,1,863
130,Leon,38,Male,feb 20,5,0,1235
131,Monterrey,38,Male,feb 20,3,1,754
132,Puebla,44,Male,feb 20,4,1,866
133,Leon,29,Male,feb 20,3,1,577
134,Guadalajara,49,Male,feb 20,2,1,588
135,Puebla,48,Male,feb 20,5,1,805
136,Puebla,48,Male,feb 20,4,1,988
137,Guadalajara,33,Male,feb 20,4,1,929
138,Puebla,38,Male,feb 20,3,1,852
139,Monterrey,36,Male,feb 20,2,0,392
140,Puebla,37,Male,feb 20,2,1,466
141,Puebla,48,Male,feb 20,6,1,1035
142,Guadalajara,36,Male,feb 20,4,1,291
143,Puebla,48,Male,feb 20,2,1,453
144,Guadalajara,34,Male,feb 20,4,1,827
145,Leon,32,Male,feb 20,4,1,79
146,Leon,39,Male,feb 20,5,1,203
147,Monterrey,51,Male,feb 20,4,1,1026
148,Leon,52,Male,feb 20,6,1,1144
149,Monterrey,32,Male,feb 20,5,1,233
150,Puebla,54,Male,feb 20,5,1,83
151,Monterrey,38,Male,feb 20,6,1,333
152,Puebla,38,Female,feb 20,3,1,580
153,Monterrey,31,Female,feb 20,2,1,549
154,Guadalajara,33,Female,feb 20,3,1,420
155,Puebla,21,Female,feb 20,2,1,375
156,Monterrey,31,Female,feb 20,6,1,1425
157,Guadalajara,38,Female,feb 20,3,1,590
158,Leon,21,Female,feb 20,6,1,498
159,Monterrey,30,Female,feb 20,5,1,983
160,Puebla,40,Female,feb 20,4,1,251
161,Guadalajara,42,Female,feb 20,6,1,256
162,Puebla,31,Female,feb 20,6,1,170
163,Monterrey,36,Female,feb 20,4,1,862
164,Guadalajara,35,Male,feb 20,3,1,678
165,Guadalajara,39,Male,feb 20,5,1,986
166,Guadalajara,42,Male,feb 20,5,0,368
167,Leon,35,Female,feb 20,5,1,841
168,Puebla,27,Female,feb 20,5,1,773
169,Monterrey,27,Female,feb 20,2,1,551
170,Leon,24,Female,feb 20,2,1,268
171,Monterrey,38,Male,feb 20,6,1,727
172,Monterrey,45,Male,feb 20,2,1,118
173,Leon,20,Female,feb 20,4,1,614
174,Puebla,40,Male,feb 20,2,1,530
175,Puebla,29,Female,feb 20,2,1,484
176,Guadalajara,29,Female,feb 20,5,1,994
177,Leon,39,Male,feb 20,6,1,301
178,Leon,37,Female,feb 20,6,1,945
179,Monterrey,49,Male,feb 20,2,1,37
180,Puebla,51,Male,feb 20,5,1,1195
181,Leon,53,Male,feb 20,4,1,1101
182,Leon,30,Female,feb 20,6,1,234
183,Leon,48,Male,feb 20,3,1,235
184,Monterrey,43,Male,feb 20,3,1,681
185,Guadalajara,35,Female,feb 20,3,1,302
186,Guadalajara,25,Male,feb 20,6,1,352
187,Puebla,40,Female,feb 20,4,1,536
188,Puebla,53,Male,feb 20,3,0,83
189,Guadalajara,41,Female,feb 20,5,0,1073
190,Monterrey,52,Male,feb 20,5,1,1061
191,Guadalajara,44,Female,feb 20,4,1,1131
192,Guadalajara,40,Male,feb 20,6,1,533
193,Leon,36,Female,feb 20,3,1,876
194,Leon,33,Male,feb 20,5,1,1220
195,Puebla,47,Male,feb 20,5,1,1456
196,Puebla,21,Female,feb 20,5,1,779
197,Leon,32,Male,feb 20,6,1,474
198,Puebla,26,Female,feb 20,4,1,778
199,Leon,34,Female,feb 20,6,1,1679
200,Guadalajara,42,Female,feb 20,4,1,500
201,Leon,20,Female,feb 20,2,1,417
202,Guadalajara,41,Female,feb 20,3,1,388
203,Monterrey,48,Male,feb 20,3,1,398
204,Puebla,43,Male,feb 20,2,1,37
205,Leon,39,Male,feb 20,2,1,354
206,Monterrey,50,Female,feb 20,3,1,206
207,Puebla,35,Male,feb 20,1,1,238
208,Monterrey,26,Female,feb 20,1,1,240
209,Guadalajara,46,Male,feb 20,1,1,282
210,Puebla,23,Male,feb 20,0,0,0
211,Guadalajara,47,Male,feb 20,3,0,627
212,Puebla,20,Female,feb 20,3,1,642
213,Leon,33,Male,feb 20,0,0,0
214,Guadalajara,23,Female,feb 20,1,1,89
215,Puebla,26,Female,feb 20,2,0,528
216,Guadalajara,39,Female,feb 20,3,1,591
217,Puebla,37,Female,feb 20,0,0,0
218,Guadalajara,24,Female,feb 20,2,1,121
219,Guadalajara,33,Female,feb 20,3,1,537
220,Leon,34,Female,feb 20,3,1,737
221,Puebla,29,Male,feb 20,1,1,209
222,Monterrey,37,Male,feb 20,1,1,79
223,Monterrey,23,Female,feb 20,3,0,157
224,Leon,35,Male,feb 20,0,0,0
225,Monterrey,54,Male,feb 20,0,0,0
226,Monterrey,46,Male,feb 20,1,1,52
227,Leon,35,Male,feb 20,2,1,240
228,Leon,20,Female,feb 20,0,0,0
229,Monterrey,30,Male,feb 20,0,0,0
230,Puebla,52,Male,feb 20,2,1,519
231,Puebla,24,Female,feb 20,1,1,125
232,Leon,30,Female,feb 20,2,1,574
233,Leon,23,Female,feb 20,3,1,265
234,Monterrey,30,Female,feb 20,1,1,43
235,Monterrey,51,Male,feb 20,3,1,378
236,Guadalajara,43,Female,feb 20,1,1,71
237,Monterrey,42,Male,feb 20,1,1,96
238,Guadalajara,46,Male,feb 20,3,0,737
239,Monterrey,49,Male,feb 20,2,1,111
240,Leon,40,Female,feb 20,3,1,653
241,Monterrey,33,Female,feb 20,1,1,211
242,Guadalajara,36,Male,feb 20,0,0,0
243,Guadalajara,47,Female,feb 20,0,0,0
244,Monterrey,46,Male,feb 20,2,1,343
245,Guadalajara,33,Male,feb 20,2,1,218
246,Puebla,41,Male,feb 20,3,1,53
247,Puebla,26,Male,feb 20,2,1,466
248,Guadalajara,32,Male,feb 20,3,1,809
249,Guadalajara,50,Male,feb 20,2,1,598
250,Puebla,54,Male,feb 20,2,1,416
251,Puebla,42,Male,feb 20,1,1,156
252,Leon,55,Male,feb 20,2,1,62
253,Monterrey,33,Male,feb 20,3,1,189
254,Monterrey,32,Male,feb 20,0,0,0
255,Puebla,51,Male,feb 20,1,1,263
256,Guadalajara,26,Female,feb 20,2,1,339
257,Leon,43,Male,feb 20,1,1,240
258,Monterrey,33,Male,feb 20,1,1,174
259,Leon,43,Male,feb 20,3,1,494
260,Puebla,36,Male,feb 20,3,1,237
261,Puebla,46,Male,feb 20,1,1,299
262,Guadalajara,40,Female,feb 20,0,0,0
263,Guadalajara,26,Female,feb 20,1,1,20
264,Leon,39,Female,feb 20,0,0,0
265,Guadalajara,49,Male,feb 20,0,0,0
266,Leon,39,Female,feb 20,3,1,149
267,Monterrey,43,Male,feb 20,3,1,60
268,Leon,25,Female,feb 20,1,1,208
269,Guadalajara,35,Female,feb 20,3,1,77
270,Leon,34,Female,feb 20,3,1,251
271,Monterrey,25,Female,feb 20,2,1,111
272,Leon,42,Male,feb 20,2,0,405
273,Leon,34,Female,feb 20,3,1,110
274,Guadalajara,33,Female,feb 20,0,0,0
275,Puebla,26,Male,feb 20,2,1,72
276,Monterrey,48,Male,feb 20,0,0,0
277,Puebla,34,Female,feb 20,2,1,80
278,Leon,20,Female,feb 20,0,0,0
279,Leon,41,Male,feb 20,3,1,291
280,Leon,42,Female,feb 20,0,0,0
281,Leon,33,Female,feb 20,0,0,0
282,Guadalajara,47,Male,feb 20,0,0,0
283,Guadalajara,29,Female,feb 20,2,1,90
284,Guadalajara,25,Female,feb 20,1,1,269
285,Guadalajara,30,Male,feb 20,3,1,321
286,Puebla,43,Male,feb 20,1,1,180
287,Guadalajara,33,Male,feb 20,2,1,255
288,Puebla,36,Male,feb 20,1,1,177
289,Guadalajara,27,Female,feb 20,2,1,477
290,Guadalajara,54,Male,feb 20,2,1,85
291,Guadalajara,33,Male,feb 20,2,1,152
292,Puebla,22,Female,feb 20,2,1,515
293,Monterrey,48,Male,feb 20,2,1,375
294,Monterrey,46,Male,feb 20,0,0,0
295,Guadalajara,44,Male,feb 20,3,1,839
296,Leon,27,Male,feb 20,2,1,98
297,Leon,20,Female,feb 20,2,1,161
298,Leon,35,Female,feb 20,1,0,110
299,Leon,25,Female,feb 20,1,1,216
300,Guadalajara,52,Male,feb 20,2,1,494
301,Guadalajara,50,Male,feb 20,1,1,285
302,Guadalajara,40,Male,feb 20,2,1,464
303,Puebla,33,Female,feb 20,0,0,0
304,Monterrey,44,Male,feb 20,1,1,23
305,Guadalajara,28,Female,feb 20,1,1,167
306,Leon,44,Male,feb 20,3,1,202
307,Puebla,20,Female,feb 20,3,1,722
308,Monterrey,38,Male,feb 20,1,1,181
309,Puebla,20,Female,feb 20,2,1,280
310,Monterrey,33,Male,feb 20,2,1,156
311,Leon,29,Male,feb 20,2,1,323
312,Puebla,39,Male,feb 20,1,1,228
313,Monterrey,48,Male,feb 20,0,0,0
314,Puebla,20,Female,feb 20,2,1,360
315,Guadalajara,25,Male,feb 20,2,1,577
316,Leon,34,Male,feb 20,0,0,0
317,Monterrey,25,Female,feb 20,3,1,233
318,Guadalajara,53,Male,feb 20,1,1,282
319,Leon,29,Male,feb 20,3,0,767
320,Monterrey,36,Female,feb 20,1,1,18
321,Guadalajara,37,Female,feb 20,1,0,250
322,Leon,41,Female,feb 20,1,1,143
323,Puebla,34,Male,feb 20,1,1,206
324,Guadalajara,23,Female,feb 20,3,1,85
325,Guadalajara,39,Male,feb 20,2,1,326
326,Monterrey,38,Female,feb 20,1,1,275
327,Leon,53,Male,feb 20,2,1,92
328,Leon,36,Male,feb 20,0,0,0
329,Leon,21,Female,feb 20,1,1,43
330,Leon,22,Female,feb 20,1,1,163
331,Monterrey,45,Male,feb 20,3,1,227
332,Puebla,36,Male,feb 20,0,0,0
333,Leon,38,Female,feb 20,3,1,598
334,Puebla,22,Female,feb 20,3,1,568
335,Puebla,41,Female,feb 20,0,0,0
336,Leon,53,Male,feb 20,0,0,0
337,Leon,50,Male,feb 20,0,0,0
338,Leon,34,Female,feb 20,1,1,113
339,Leon,41,Female,feb 20,1,1,254
340,Monterrey,37,Female,feb 20,0,0,0
341,Monterrey,48,Male,feb 20,3,0,160
342,Monterrey,33,Female,feb 20,3,1,93
343,Leon,23,Female,feb 20,2,1,172
344,Monterrey,48,Male,feb 20,0,0,0
345,Leon,50,Male,feb 20,3,1,286
346,Monterrey,32,Female,feb 20,2,1,324
347,Leon,38,Male,feb 20,3,1,340
348,Leon,53,Male,feb 20,0,0,0
349,Puebla,40,Male,feb 20,1,1,99
350,Leon,48,Male,feb 20,3,1,612
351,Monterrey,38,Female,feb 20,3,1,550
352,Leon,42,Female,feb 20,4,1,979
353,Monterrey,39,Male,feb 20,3,1,112
354,Leon,41,Female,feb 20,4,1,1120
355,Puebla,39,Female,feb 20,4,1,357
356,Monterrey,35,Female,feb 20,2,0,260
357,Monterrey,42,Male,feb 20,2,1,82
358,Leon,34,Male,feb 20,3,1,283
359,Monterrey,31,Female,feb 20,4,1,581
360,Monterrey,34,Female,feb 20,4,1,1015
361,Leon,36,Male,feb 20,3,1,306
362,Puebla,42,Male,feb 20,2,1,339
363,Puebla,32,Male,feb 20,4,1,498
364,Monterrey,53,Male,feb 20,2,1,374
365,Leon,53,Male,feb 20,2,1,137
366,Monterrey,53,Female,feb 20,2,1,35
367,Monterrey,53,Female,feb 20,3,1,244
368,Leon,38,Female,feb 20,2,1,269
369,Leon,36,Male,feb 20,4,1,764
370,Monterrey,23,Female,feb 20,2,1,471
371,Puebla,37,Male,feb 20,3,1,767
372,Monterrey,38,Female,feb 20,2,1,548
373,Monterrey,51,Male,feb 20,3,1,827
374,Puebla,35,Female,feb 20,3,1,543
375,Puebla,31,Female,feb 20,3,1,68
376,Monterrey,24,Female,feb 20,4,1,913
377,Monterrey,55,Female,feb 20,4,1,852
378,Puebla,37,Male,feb 20,3,1,822
379,Monterrey,49,Male,feb 20,4,1,76
380,Monterrey,28,Female,feb 20,4,1,133
381,Puebla,41,Female,feb 20,4,1,631
382,Monterrey,55,Male,feb 20,4,1,831
383,Monterrey,37,Male,feb 20,3,1,609
384,Monterrey,39,Male,feb 20,4,1,1061
385,Monterrey,51,Female,feb 20,2,1,578
386,Puebla,35,Female,feb 20,4,1,142
387,Puebla,54,Female,feb 20,2,1,44
388,Puebla,58,Male,feb 20,4,1,744
389,Monterrey,29,Female,feb 20,2,1,509
390,Monterrey,42,Female,feb 20,3,1,347
391,Puebla,41,Male,feb 20,3,1,84
392,Monterrey,50,Male,feb 20,3,1,454
393,Puebla,33,Female,feb 20,3,1,701
394,Monterrey,29,Female,feb 20,7,1,1721
395,Monterrey,33,Female,feb 20,5,1,415
396,Monterrey,50,Male,feb 20,7,1,574
397,Puebla,31,Female,feb 20,3,1,856
398,Puebla,54,Female,feb 20,3,1,634
399,Monterrey,50,Male,feb 20,5,1,1185
400,Monterrey,48,Male,feb 20,6,1,1371
401,Puebla,55,Male,feb 20,3,1,124
402,Monterrey,35,Female,feb 20,7,1,1798
403,Puebla,40,Male,feb 20,7,0,1353
404,Puebla,24,Female,feb 20,4,1,852
405,Puebla,35,Female,feb 20,5,1,1255
406,Monterrey,35,Female,feb 20,3,1,77
407,Monterrey,48,Male,feb 20,6,0,451
408,Puebla,56,Male,feb 20,3,1,163
409,Monterrey,42,Male,feb 20,6,1,1060
410,Monterrey,35,Female,feb 20,6,1,139
411,Puebla,53,Female,feb 20,3,1,152
412,Puebla,58,Female,feb 20,4,0,481
413,Puebla,26,Female,feb 20,3,1,542
414,Puebla,42,Male,feb 20,6,1,1772
415,Monterrey,31,Female,feb 20,6,1,1166
416,Puebla,46,Male,feb 20,6,1,1081
417,Monterrey,44,Male,feb 20,5,1,1396
418,Puebla,42,Female,feb 20,7,1,1087
419,Puebla,40,Male,feb 20,7,1,1615
420,Monterrey,50,Male,feb 20,3,1,75
421,Puebla,25,Female,feb 20,5,1,706
422,Monterrey,40,Female,feb 20,5,1,170
423,Monterrey,43,Male,feb 20,6,1,460
424,Monterrey,39,Male,feb 20,3,1,786
425,Monterrey,29,Female,feb 20,3,1,784
426,Monterrey,35,Female,feb 20,4,1,169
427,Monterrey,52,Male,feb 20,7,1,951
428,Puebla,26,Female,feb 20,3,1,154
429,Puebla,37,Male,feb 20,6,1,1536
430,Monterrey,33,Female,feb 20,7,1,1243
431,Monterrey,32,Male,feb 20,7,0,1962
432,Puebla,35,Female,feb 20,7,1,1840
433,Monterrey,37,Female,feb 20,6,1,1776
434,Monterrey,35,Male,feb 20,6,1,1528
435,Monterrey,34,Male,feb 20,3,1,549
436,Puebla,40,Male,feb 20,5,1,1083
437,Puebla,43,Male,feb 20,7,1,1112
438,Puebla,30,Female,feb 20,5,1,652
439,Puebla,34,Male,feb 20,6,1,662
440,Monterrey,28,Female,feb 20,6,1,1194
441,Puebla,33,Female,feb 20,4,1,1098
442,Puebla,36,Female,feb 20,5,0,1247
443,Puebla,36,Female,feb 20,6,1,1661
444,Monterrey,37,Male,feb 20,4,1,879
445,Monterrey,55,Male,feb 20,7,1,1536
446,Puebla,30,Female,feb 20,3,1,1105
447,Puebla,46,Male,feb 20,3,1,660
448,Monterrey,34,Male,feb 20,4,1,1790
449,Puebla,32,Male,feb 20,3,1,682
450,Puebla,39,Female,feb 20,4,1,844
451,Monterrey,37,Female,feb 20,7,1,3017
452,Puebla,50,Male,feb 20,7,1,1482
453,Monterrey,28,Female,feb 20,5,1,1179
454,Monterrey,39,Female,feb 20,5,1,1061
455,Puebla,50,Female,feb 20,5,1,1346
456,Monterrey,47,Male,feb 20,6,1,2308
457,Puebla,50,Male,feb 20,3,1,1332
458,Puebla,25,Female,feb 20,4,1,891
459,Monterrey,26,Female,feb 20,3,1,647
460,Puebla,51,Male,feb 20,4,1,881
461,Monterrey,27,Male,feb 20,7,1,1645
462,Puebla,31,Female,feb 20,7,1,3117
463,Monterrey,53,Male,feb 20,5,1,2147
464,Puebla,30,Female,feb 20,6,1,1509
465,Puebla,34,Female,feb 20,5,1,1750
466,Monterrey,42,Female,feb 20,7,1,2761
467,Puebla,28,Female,feb 20,5,1,1073
468,Puebla,39,Male,feb 20,7,1,1448
469,Puebla,29,Male,feb 20,3,1,1255
470,Puebla,47,Male,feb 20,3,1,666
471,Monterrey,40,Female,feb 20,5,1,1832
472,Monterrey,57,Male,feb 20,4,1,1768
473,Monterrey,36,Female,feb 20,6,1,2615
474,Monterrey,50,Female,feb 20,5,1,1078
475,Puebla,28,Female,feb 20,4,1,1451
476,Puebla,25,Female,feb 20,5,1,1934
477,Monterrey,52,Female,feb 20,7,1,1939
478,Puebla,34,Female,feb 20,7,1,2665
479,Monterrey,41,Female,feb 20,4,1,1569
480,Puebla,49,Female,feb 20,4,1,1311
481,Puebla,34,Female,feb 20,7,1,2242
482,Puebla,33,Female,feb 20,6,1,1458
483,Monterrey,42,Female,feb 20,7,1,2094
484,Monterrey,38,Female,feb 20,5,1,1916
485,Monterrey,36,Male,feb 20,3,1,1347
486,Puebla,34,Male,feb 20,5,1,1735
487,Monterrey,36,Male,feb 20,7,1,3155
488,Puebla,52,Male,feb 20,3,1,796
489,Monterrey,43,Male,feb 20,4,1,806
490,Puebla,27,Female,feb 20,5,1,1056
491,Monterrey,48,Male,feb 20,4,1,820
492,Monterrey,27,Female,feb 20,3,0,1264
493,Monterrey,44,Male,feb 20,4,1,1231
494,Puebla,49,Male,feb 20,7,1,2658
495,Monterrey,43,Male,feb 20,3,0,938
496,Monterrey,40,Female,feb 20,4,1,1275
497,Monterrey,37,Male,feb 20,3,1,1047
498,Puebla,50,Male,feb 20,4,1,845
499,Monterrey,39,Male,feb 20,7,1,2660
500,Puebla,42,Male,feb 20,6,1,1455
1,Guadalajara,33,Male,mar 20,4,1,1722
2,Guadalajara,23,Female,mar 20,3,1,868
3,Monterrey,23,Female,mar 20,5,1,1512
4,Leon,24,Female,mar 20,3,1,1211
5,Puebla,46,Male,mar 20,6,1,2050
6,Guadalajara,35,Female,mar 20,2,1,694
7,Guadalajara,36,Male,mar 20,2,1,755
8,Guadalajara,63,Female,mar 20,2,0,548
9,Puebla,53,Male,mar 20,0,0,0
10,Guadalajara,41,Male,mar 20,2,1,820
11,Leon,47,Male,mar 20,2,1,779
12,Puebla,63,Female,mar 20,2,1,738
13,Leon,43,Male,mar 20,0,0,0
14,Puebla,38,Male,mar 20,3,1,805
15,Guadalajara,43,Male,mar 20,0,0,0
16,Guadalajara,53,Male,mar 20,2,1,446
17,Monterrey,24,Female,mar 20,1,1,447
18,Guadalajara,43,Male,mar 20,1,1,316
19,Leon,47,Male,mar 20,0,0,0
20,Guadalajara,42,Male,mar 20,0,0,0
21,Monterrey,31,Female,mar 20,1,1,353
22,Guadalajara,38,Male,mar 20,3,1,1246
23,Leon,35,Female,mar 20,1,1,273
24,Guadalajara,64,Female,mar 20,1,1,200
25,Leon,42,Male,mar 20,2,1,809
26,Puebla,28,Female,mar 20,0,0,0
27,Leon,35,Female,mar 20,1,1,437
28,Monterrey,61,Female,mar 20,2,1,493
29,Monterrey,39,Male,mar 20,1,1,357
30,Guadalajara,32,Female,mar 20,3,1,996
31,Guadalajara,40,Female,mar 20,3,1,1047
32,Guadalajara,42,Female,mar 20,3,1,1069
33,Guadalajara,49,Male,mar 20,0,0,0
34,Leon,29,Female,mar 20,1,1,391
35,Leon,38,Female,mar 20,1,1,323
36,Monterrey,31,Female,mar 20,0,0,0
37,Leon,62,Female,mar 20,1,1,203
38,Monterrey,47,Male,mar 20,2,1,430
39,Guadalajara,25,Male,mar 20,3,1,1174
40,Guadalajara,40,Male,mar 20,0,0,0
41,Monterrey,27,Female,mar 20,3,1,735
42,Leon,46,Male,mar 20,1,1,294
43,Puebla,37,Female,mar 20,3,1,805
44,Monterrey,41,Male,mar 20,1,1,223
45,Monterrey,61,Female,mar 20,0,0,0
46,Puebla,40,Female,mar 20,1,1,278
47,Guadalajara,40,Male,mar 20,0,0,0
48,Guadalajara,62,Female,mar 20,3,1,364
49,Puebla,25,Female,mar 20,1,0,113
50,Monterrey,49,Male,mar 20,0,0,0
51,Leon,25,Female,mar 20,1,1,160
52,Monterrey,28,Female,mar 20,2,1,303
53,Guadalajara,25,Female,mar 20,0,0,0
54,Guadalajara,33,Female,mar 20,2,1,459
55,Leon,32,Male,mar 20,0,0,0
56,Puebla,55,Male,mar 20,4,1,1071
57,Guadalajara,36,Female,mar 20,1,1,296
58,Leon,42,Male,mar 20,1,1,234
59,Monterrey,37,Male,mar 20,2,1,370
60,Puebla,35,Male,mar 20,1,1,123
61,Monterrey,36,Female,mar 20,0,0,0
62,Leon,25,Female,mar 20,2,1,542
63,Guadalajara,41,Male,mar 20,3,1,864
64,Puebla,34,Female,mar 20,2,1,566
65,Leon,65,Female,mar 20,2,1,277
66,Leon,35,Male,mar 20,4,1,303
67,Guadalajara,65,Female,mar 20,1,1,222
68,Monterrey,34,Male,mar 20,4,1,418
69,Monterrey,32,Male,mar 20,0,0,0
70,Leon,25,Female,mar 20,1,1,56
71,Leon,65,Female,mar 20,0,0,0
72,Guadalajara,40,Male,mar 20,0,0,0
73,Puebla,28,Female,mar 20,4,1,134
74,Monterrey,29,Female,mar 20,3,1,208
75,Monterrey,39,Male,mar 20,1,1,66
76,Leon,39,Female,mar 20,2,1,68
77,Guadalajara,37,Female,mar 20,0,0,0
78,Monterrey,38,Male,mar 20,1,1,198
79,Leon,37,Male,mar 20,0,0,0
80,Puebla,39,Female,mar 20,3,1,418
81,Puebla,20,Male,mar 20,1,1,18
82,Monterrey,54,Male,mar 20,1,1,149
83,Puebla,41,Male,mar 20,1,1,126
84,Puebla,65,Female,mar 20,0,0,0
85,Puebla,36,Male,mar 20,0,0,0
86,Puebla,26,Female,mar 20,4,1,215
87,Puebla,48,Male,mar 20,3,1,306
88,Guadalajara,36,Female,mar 20,2,1,308
89,Leon,64,Female,mar 20,4,1,1005
90,Puebla,50,Male,mar 20,2,1,108
91,Leon,37,Female,mar 20,0,0,0
92,Monterrey,29,Female,mar 20,1,1,262
93,Puebla,25,Female,mar 20,4,1,649
94,Guadalajara,65,Female,mar 20,2,1,387
95,Monterrey,36,Female,mar 20,3,0,600
96,Leon,33,Male,mar 20,4,1,1030
97,Monterrey,32,Male,mar 20,4,1,551
98,Leon,26,Female,mar 20,0,0,0
99,Leon,32,Male,mar 20,0,0,0
100,Guadalajara,23,Female,mar 20,0,0,0
101,Monterrey,23,Female,mar 20,0,0,0
102,Leon,53,Male,mar 20,0,0,0
103,Leon,39,Male,mar 20,4,1,529
104,Puebla,26,Female,mar 20,4,1,1135
105,Monterrey,45,Male,mar 20,4,1,1115
106,Guadalajara,38,Male,mar 20,4,1,1174
107,Puebla,40,Male,mar 20,2,1,239
108,Puebla,54,Female,mar 20,2,1,157
109,Leon,50,Male,mar 20,4,1,891
110,Leon,47,Male,mar 20,0,0,0
111,Guadalajara,46,Female,mar 20,1,1,142
112,Monterrey,41,Female,mar 20,4,1,993
113,Monterrey,33,Female,mar 20,3,1,784
114,Monterrey,37,Male,mar 20,1,1,158
115,Puebla,24,Female,mar 20,0,0,0
116,Guadalajara,37,Male,mar 20,4,0,377
117,Guadalajara,49,Male,mar 20,4,1,255
118,Guadalajara,41,Male,mar 20,3,1,146
119,Leon,20,Female,mar 20,3,1,631
120,Guadalajara,39,Female,mar 20,4,1,260
121,Monterrey,42,Female,mar 20,4,1,65
122,Leon,20,Female,mar 20,0,0,0
123,Monterrey,38,Male,mar 20,1,1,259
124,Leon,41,Female,mar 20,1,1,210
125,Puebla,40,Male,mar 20,2,1,366
126,Guadalajara,52,Male,mar 20,0,0,0
127,Monterrey,32,Male,mar 20,1,1,44
128,Leon,34,Male,mar 20,2,1,351
129,Monterrey,32,Male,mar 20,4,1,300
130,Leon,38,Male,mar 20,4,1,174
131,Monterrey,38,Male,mar 20,4,1,674
132,Puebla,44,Male,mar 20,0,0,0
133,Leon,29,Male,mar 20,2,1,201
134,Guadalajara,49,Male,mar 20,1,1,262
135,Puebla,48,Male,mar 20,1,1,245
136,Puebla,48,Male,mar 20,3,1,567
137,Guadalajara,33,Male,mar 20,1,1,125
138,Puebla,38,Male,mar 20,1,1,251
139,Monterrey,36,Male,mar 20,4,1,256
140,Puebla,37,Male,mar 20,3,0,519
141,Puebla,48,Male,mar 20,4,1,577
142,Guadalajara,36,Male,mar 20,4,1,354
143,Puebla,48,Male,mar 20,4,1,1059
144,Guadalajara,34,Male,mar 20,1,0,132
145,Leon,32,Male,mar 20,2,1,292
146,Leon,39,Male,mar 20,1,1,283
147,Monterrey,51,Male,mar 20,3,1,662
148,Leon,52,Male,mar 20,0,0,0
149,Monterrey,32,Male,mar 20,1,1,22
150,Puebla,54,Male,mar 20,3,1,650
151,Monterrey,38,Male,mar 20,3,0,353
152,Puebla,38,Female,mar 20,2,1,280
153,Monterrey,31,Female,mar 20,1,1,198
154,Guadalajara,33,Female,mar 20,1,0,60
155,Puebla,21,Female,mar 20,1,1,171
156,Monterrey,31,Female,mar 20,1,1,26
157,Guadalajara,38,Female,mar 20,2,1,452
158,Leon,21,Female,mar 20,3,1,48
159,Monterrey,30,Female,mar 20,1,1,108
160,Puebla,40,Female,mar 20,3,1,463
